subsidiary,listed_company
Nylex (Malaysia) Berhad,Ancom Berhad
Nylex Polymer Division,Ancom Berhad
Genovasi Malaysia Sdn. Bhd.,Ancom Berhad
IEnterprise Online Sdn. Bhd.,Ancom Berhad
Ancom-Chemquest Terminals Sdn.,Ancom Berhad
Ancom Crop Care Sdn. Bhd.,Ancom Berhad
Perusahaan Kimia Gemilang Sdn Bhd,Ancom Berhad
Redberry Media Group,Ancom Berhad
CKG Chemicals Pte Ltd,Ancom Berhad
Kumpulan Kesuma Sdn. Bhd.,Ancom Berhad
Pengangkutan Cogent Sdn. Bhd.,Ancom Berhad
Ancom-Chemquest Terminals Sdn. Bhd.,Ancom Berhad
Nylex,Ancom Berhad
Ancom Logistics Berhad,Ancom Berhad
Ancom Kimia Sdn. Bhd.,Ancom Berhad
