name,relation,position,company
Dato Mohamed Ilyas Bin Pakeer Mohamed,IS_DIRECTOR_OF,Independent Non-Executive Director,Serba Dinamik Holdings Berhad
Dato Dr Ir Ts Mohd Abdul Karim Bin Abdullah,IS_DIRECTOR_OF,Group Managing Director,Serba Dinamik Holdings Berhad
Datuk Hj Abdul Kadier Sahib,IS_DIRECTOR_OF,Non-Independent Non-Executive Director,Serba Dinamik Holdings Berhad
Pengeran Dato Awang Daud Bin Pangeran Awang Putera,IS_DIRECTOR_OF,Non-Independent Non-Executive Director,Serba Dinamik Holdings Berhad
Datuk Syed Nazim Bin Syed Faisal,IS_DIRECTOR_OF,Non-Independent Executive Director,Serba Dinamik Holdings Berhad
Encik Johan Bin Mohamed Ishak,IS_DIRECTOR_OF,Independent Non-Executive Director,Serba Dinamik Holdings Berhad
Datuk Seri Mohamed Farid Abu Hassan,IS_DIRECTOR_OF,Independent Non-Executive Director,Serba Dinamik Holdings Berhad
Siti Zaleha Binti Sulaiman,IS_DIRECTOR_OF,Independent Non-Executive Director,Serba Dinamik Holdings Berhad
Tom Hanks,IS_DIRECTOR_OF,Independent Non-Executive Director,Serba Dinamik Holdings Berhad
